Name,Address,City,State,Undergraduate Enrollment,Road Distance (mi),Travel Time One Way (hr)
Sullivan and Cogliano Training Center,460 Belmont Street,Brockton,MA,1394,106.254441,1.933333333
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,15 Henning Rd,Saratoga Springs,NY,67,132.352023,2.15
Northpoint Bible College,320 South Main Street,Haverhill,MA,462,96.312505,1.8
Branford Hall Career Institute-Branford Campus,1 Summit Place,Branford,CT,943,93.827021,1.583333333
Porter and Chester Institute of Branford,221 W Main St,Branford,CT,742,93.20565,1.583333333
Branford Academy of Hair and Cosmetology,251 West Main St,Branford,CT,105,93.20565,1.583333333
Quincy College,1250 Hancock Street,Quincy,MA,7204,104.390328,1.95
Southeastern Technical Institute,250 Foundry St,South Easton,MA,139,103.147586,1.916666667
Mansfield Beauty Schools-Quincy,200 Parking Way,Quincy,MA,100,103.768957,1.916666667
La Baron Hairdressing Academy-Brockton,240 Liberty St,Brockton,MA,84,105.63307,2
Massachusetts School of Barbering,64 Ross Way,Quincy,MA,150,103.768957,1.933333333
University of New Haven,300 Boston Post Road,West Haven,CT,5409,93.827021,1.6
SUNY Empire State College,One Union Ave,Saratoga Springs,NY,18788,132.973394,2.183333333
Ailano School of Cosmetology,541 West St,Brockton,MA,58,108.739925,1.983333333
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,2144 Saratoga Ave,Ballston Spa,NY,216,130.48791,2.133333333
Skidmore College,815 N Broadway,Saratoga Springs,NY,2860,134.837507,2.2
Northern Essex Community College,100 Elliott Street,Haverhill,MA,9732,99.41936,1.816666667
Stone Academy-Hamden,560 Saw Mill Road,West Haven,CT,607,93.827021,1.566666667
North Shore Community College,1 Ferncroft Rd,Danvers,MA,11144,100.040731,1.95
University of Rhode Island,Green Hal," 35 Campus Avenue""",Kingston,15584,118.681861,2.233333333
Rob Roy Academy-Taunton,1 School St,Taunton,MA,111,104.390328,1.933333333
Ulster County BOCES-Practical Nursing Program,Route 9W,Port Ewen,NY,121,137.322991,2.25
Signature Healthcare Brockton Hospital School of Nursing,680 Centre St,Brockton,MA,346,109.361296,2.066666667
Dutchess BOCES-Practical Nursing Program,5 BOCES Road,Poughkeepsie,NY,230,130.48791,2.233333333
Massasoit Community College,One Massasoit Boulevard,Brockton,MA,11856,109.982667,2.083333333
Roger Williams University School of Law,Ten Metacom Ave,Bristol,RI,0,107.497183,2.133333333
Western Connecticut State University,181 White Street,Danbury,CT,6932,107.497183,1.866666667
Roger Williams University,One Old Ferry Road,Bristol,RI,4847,108.118554,2.133333333
Lincoln Technical Institute-Shelton,8 Progress Drive,Shelton,CT,915,100.040731,1.733333333
Ridley-Lowell Business & Technical Institute-Danbury,44 Shelter Rock Rd,Danbury,CT,258,107.497183,1.85
Platt Technical High School,600 Orange Ave,Milford,CT,18,96.312505,1.633333333
Paul Mitchell the School-Danbury,2 National Place,Danbury,CT,165,108.739925,1.866666667
Marian Court College,35 Little's Point Rd,Swampscott,MA,251,108.739925,2.166666667
Dutchess Community College,53 Pendell Rd,Poughkeepsie,NY,13291,134.837507,2.366666667
Salem State University,352 Lafayette St,Salem,MA,9483,108.739925,2.116666667
Culinary Institute of America,1946 Campus Drive,Hyde Park,NY,4548,134.837507,2.366666667
Adirondack Beauty School,108 Dix Ave,Glens Falls,NY,38,150.993153,2.483333333
Bridgewater State University,131 Summer Street,Bridgewater,MA,10913,109.361296,2.016666667
Montserrat College of Art,23 Essex Street,Beverly,MA,420,108.739925,2.05
Vassar College,124 Raymond Ave,Poughkeepsie,NY,2680,136.080249,2.383333333
Rob Roy Academy-Fall River,260 S Main St,Fall River,MA,184,106.254441,1.983333333
Salter School-Fall River,82 Hartwell Street,Fall River,MA,502,106.254441,1.983333333
Marist College,3399 North Rd,Poughkeepsie,NY,6077,136.080249,2.416666667
Green Mountain College,One Brennan Circle,Poultney,VT,672,129.245168,2.416666667
Ridley-Lowell Business & Technical Institute-Poughkeepsie,26 South Hamilton St,Poughkeepsie,NY,656,134.837507,2.366666667
Bristol Community College,777 Elsbree St,Fall River,MA,11987,111.84678,2.116666667
Diman Regional Technical Institute,251 Stonehaven Rd,Fall River,MA,84,107.497183,2.05
College of St Joseph,71 Clement Road,Rutland,VT,209,111.84678,2.166666667
Endicott College,376 Hale Street,Beverly,MA,2890,112.468151,2.116666667
Gordon-Conwell Theological Seminary,130 Essex St,South Hamilton,MA,0,113.710893,2.15
New England School of Hair Design Inc,12 Interchange Dr,West Lebanon,NH,82,101.904844,1.666666667
Adirondack Community College,640 Bay Rd,Queensbury,NY,5237,153.478637,2.533333333
Upper Valley Educators Institute,194 Dartmouth College Highway,Lebanon,NH,0,107.497183,1.716666667
Lebanon College,15 Hanover Street,Lebanon,NH,239,104.390328,1.7
Spa Tech Institute-Ipswich,126 High St,Ipswich,MA,117,106.254441,2.116666667
Gordon College,255 Grapevine Rd,Wenham,MA,1695,112.468151,2.083333333
Bullard-Havens Technical High School,500 Palisade Avenue,Bridgeport,CT,27,104.390328,1.816666667
Sacred Heart University,5151 Park Ave,Fairfield,CT,4791,106.254441,1.783333333
International Yacht Restoration School,449 Thames St,Newport,RI,85,123.031458,2.35
St Vincent's College,2800 Main St,Bridgeport,CT,945,104.390328,1.766666667
Bridgeport Hospital School of Nursing,200 Mill Hill Ave,Bridgeport,CT,211,105.63307,1.816666667
New England Tractor Trailer Training School of CT-Bridgeport,510 Barnum Ave,Bridgeport,CT,608,105.63307,1.783333333
Salve Regina University,100 Ochre Point Avenue,Newport,RI,2129,124.2742,2.4
Ulster County Community College,491 Cottekill Rd,Stone Ridge,NY,4980,142.91533,2.3
Porter and Chester Institute of Stratford,670 Lordship Blvd,Stratford,CT,6261,105.63307,1.766666667
The Leon Institute of Hair Design,111 Wall St,Bridgeport,CT,28,106.254441,1.783333333
Castleton State College,62 Alumni Dr,Castleton,VT,2259,120.545974,2.266666667
Stratford School of Aviation Maintenance Technicians,200 Great Meadows Rd,Stratford,CT,42,106.254441,1.8
Housatonic Community College,900 Lafayette Blvd,Bridgeport,CT,8827,106.254441,1.766666667
University of Bridgeport,126 Park Avenue,Bridgeport,CT,3088,106.875812,1.816666667
Dartmouth College,207 Parkhurst Hall,Hanover,NH,4646,105.63307,1.716666667
State University of New York at New Paltz,1 Hawk Drive,New Paltz,NY,7583,150.993153,2.433333333
Fairfield University,1073 N Benson Rd,Fairfield,CT,4430,111.225409,1.883333333
University of Massachusetts-Dartmouth,285 Old Westport Rd,North Dartmouth,MA,8394,117.439119,2.216666667
Lakes Region Community College,379 Belmont Road,Laconia,NH,2276,124.2742,2.45
Great Bay Community College,320 Corporate Dr,Portsmouth,NH,3121,124.895571,2.233333333
Empire Beauty School-Laconia,556 Main St,Laconia,NH,144,123.652829,2.45
Salter School-New Bedford,950 Kings Hwy,New Bedford,MA,524,119.924603,2.2
University of New Hampshire-Main Campus,105 Main St," Thompson Hall""",Durham,13599,133.594765,2.383333333
Rob Roy Academy-New Bedford,1872 Acushnet Ave,New Bedford,MA,51,119.924603,2.25
University System of New Hampshire System Office,25 Concord Road Dunlap Center,Durham,NH,0,132.973394,2.333333333
Connecticut Center for Massage Therapy-Westport,25 Sylvan Rd South,Westport,CT,308,115.575006,2
Mount Saint Mary College,330 Powell Avenue,Newburgh,NY,2499,147.264927,2.466666667
La Baron Hairdressing Academy-New Bedford,281 Union St,New Bedford,MA,51,121.167345,2.216666667
Spa Tech Institute-Plymouth,59 Industrial Park Rd,Plymouth,MA,197,124.895571,2.233333333
Fulton-Montgomery Community College,2805 State Hwy 67,Johnstown,NY,3259,139.187104,2.283333333
Hamilton Fulton Montgomery BOCES-Practical Nursing Program,2755 State Highway 67,Johnstown,NY,62,139.808475,2.3
Vermont Law School,164 Chelsea Street,South Royalton,VT,0,116.817748,1.916666667
Empire Beauty School-Portsmouth,2545 Lafayette Rd,Portsmouth,NH,171,126.759684,2.283333333
Putnam Westchester BOCES-Practical Nursing Program,200 BOCES Drive,Yorktown Heights,NY,45,132.973394,2.266666667
United States Military Academy,646 Swift Rd (ATTN: MASG),West  Point,NY,4622,162.177831,2.8
Norwalk Community College,188 Richards Avenue,Norwalk,CT,9328,121.167345,2.066666667
University of Phoenix-Fairfield County Campus,535 Connecticut Ave,Norwalk,CT,38,121.788716,2.05
Finger Lakes School of Massage,272 North Bedford Rd,Mt. Kisco,NY,146,131.730652,2.216666667
Yeshiva of Nitra Rabbinical College,Pines Bridge Road,Mount Kisco,NY,236,131.730652,2.2
Paul Mitchell the School-Portsmouth,140 Congress Street,Portsmouth,NH,33,126.138313,2.2
Empire Beauty School-Somersworth,362 Rte 108,Somersworth,NH,196,139.187104,2.433333333
SUNY College of Agriculture and Technology at Cobleskill,Rt 7,Cobleskill,NY,2755,144.779443,2.283333333
Plymouth State University,17 High Street,Plymouth,NH,4587,144.158072,2.583333333
Kehilath Yakov Rabbinical Seminary,340  Illington Road,Ossining,NY,113,137.944362,2.366666667
Empire Beauty School-Peekskill,19 Bank St,Peekskill,NY,81,141.672588,2.533333333
Ohr Hameir Theological Seminary,141 Furnace Woods Rd,Peekskill,NY,121,142.91533,2.516666667
LIU Riverhead,121 Speonk-Riverhead Rd,Riverhead,NY,60,150.993153,3.733333333
Bais Binyomin Academy,132 Prospect St,Stamford,CT,65,128.002426,2.183333333
University of Connecticut-Stamford,One University Place,Stamford,CT,1832,128.002426,2.2
Stony Brook University,310 Administration Building,Stony Brook,NY,18813,129.866539,3.283333333
Vermont Technical College,1 Main Street,Randolph Center,VT,1951,130.48791,2.05
Massachusetts Maritime Academy,101 Academy Dr,Buzzards Bay,MA,1454,131.730652,2.333333333
Suffolk County Community College,533 College Rd,Selden,NY,33874,132.973394,3.333333333
SUNY at Purchase College,735 Anderson Hill Rd,Purchase,NY,4986,137.322991,2.333333333
LIU Hudson at Westchester,LIU/Westchester Campu," 735 Anderson Hill Road""",Purchase,0,137.944362,2.366666667
Upper Cape Cod Regional Technical School,220 Sandwich Road,Bourne,MA,59,139.187104,2.383333333
Uta Mesivta of Kiryas Joel,48 Bakertown Rd Suite 501,Monroe,NY,1516,167.77017,2.783333333
New York Medical College,Administration Building,Valhalla,NY,0,143.536701,2.433333333
SUNY Westchester Community College,75 Grasslands Road,Valhalla,NY,22080,144.779443,2.466666667
Manhattanville College,2900 Purchase St,Purchase,NY,1937,137.944362,2.333333333
Word of Life Bible Institute,4200 Glendale Road,Pottersville,NY,565,182.061703,2.883333333
Sanford-Brown Institute-White Plains,333 Westchester Avenue,White Plains,NY,879,140.429846,2.383333333
Long Island Beauty School-Hauppauge,544 Rte 111,Hauppauge,NY,450,190.760897,3.3
New York School of Esthetics & Day Spa,14 North Broadway,Tarrytown,NY,133,146.022185,2.5
The College of Westchester,325 Central Ave,White Plains,NY,1564,143.536701,2.416666667
Eastern Suffolk BOCES-Practical Nursing Program,201 Sunrise Hwy,Patchogue,NY,447,137.944362,3.416666667
National Graduate School of Quality Management,186 Jones Road,Falmouth,MA,131,147.886298,2.533333333
New York Institute of Beauty,11 Oval Drive,Islandia,NY,180,190.760897,3.3
Rockland County BOCES-Practical Nursing Program,65 Parrott Rd,West Nyack,NY,106,156.585492,2.7
Branford Hall Career Institute-Bohemia Campus,565 Johnson Avenue,Bohemia,NY,1328,195.731865,3.416666667
Nyack College,1 South Blvd,Nyack,NY,2416,152.857266,2.616666667
Be'er Yaakov Talmudic Seminary,12 Jefferson Avenue,Spring Valley,NY,289,161.55646,2.75
Watson School of Biological Sciences at Cold Spring Harbor Laboratory,1 Bungtown Rd,Cold Spring Harbor,NY,0,180.19759,3.183333333
Seacoast Career Schools-Sanford Campus,One Eagle Dr Ste 1,Sanford,ME,396,152.235895,2.633333333
Southern Westchester BOCES-Practical Nursing Program,450 Mamaroneck Avenue,Harrison,NY,211,141.051217,2.366666667
LIU Brentwood,Michael J. Grant Campu," 1001 Crooked Hill Road""",Brentwood,52,187.032671,3.233333333
Yeshivath Zichron Moshe,Laurel Park Road,South Fallsburgh,NY,222,175.226622,3.05
Middlebury College,Old Chapel,Middlebury,VT,3728,150.371782,2.866666667
York County Community College,112 College Drive,Wells,ME,2174,146.022185,2.516666667
Mercy College,555 Broadway,Dobbs Ferry,NY,10037,150.371782,2.6
Orange County Community College,115 South St,Middletown,NY,10125,172.119767,2.85
Capri School of Hair Design,251 West Route 59,Nanuet,NY,446,157.206863,2.666666667
Sullivan County Community College,112 College Road,Loch Sheldrake,NY,2301,176.469364,3.05
Dominican College of Blauvelt,470 Western Highway,Orangeburg,NY,1745,157.828234,2.716666667
Orange Ulster BOCES-Practical Nursing Program,130 Dolson Avenue,Middletown,NY,82,171.498396,2.816666667
Yeshiva Gedolah Kesser Torah,28 Cedar Lane,Monsey,NY,90,160.935089,2.8
St Thomas Aquinas College,125 Rte 340,Sparkill,NY,2015,155.34275,2.683333333
Beauty School of Middletown,225 Dolson Ave,Middletown,NY,105,170.877025,2.783333333
Rockland Community College,145 College Rd,Suffern,NY,11105,164.663315,2.833333333
Yeshivath Viznitz,25 Phyllis Terrace,Monsey,NY,523,160.313718,2.783333333
Dowling College,150 Idle Hour Blvd,Oakdale,NY,2946,196.974607,3.4
Yeshiva D'monsey Rabbinical College,2 Roman Blvd,Monsey,NY,50,159.692347,2.766666667
Saint Vladimirs Orthodox Theological Seminary,575 Scarsdale Rd,Crestwood,NY,0,146.643556,2.516666667
Five Towns College,305 North Service Road,Dix Hills,NY,980,180.818961,3.116666667
Bais Medrash Elyon,73 Main St,Monsey,NY,14,160.313718,2.766666667
LIU Hudson at Rockland,70 Route 340,Orangeburg,NY,0,160.313718,2.716666667
Rabbinical College Beth Shraga,28 Saddle River Rd,Monsey,NY,51,160.313718,2.783333333
Yeshiva Shaarei Torah of Rockland,91 W Carlton Rd,Suffern,NY,119,164.041944,2.8
Webb Institute,298 Crescent Beach Rd,Glen Cove,NY,79,174.605251,3.133333333
Iona College,715 North Ave,New Rochelle,NY,3724,146.022185,2.483333333
Concordia College-New York,171 White Plains Rd,Bronxville,NY,996,146.022185,2.516666667
SBI Campus-An Affiliate of Sanford-Brown,320 S. Service Road,Melville,NY,625,178.954848,3.116666667
Cochran School of Nursing,967 North Broadway-Andrus Pavillion-Saint John's Riversid,"  HOSP""",Yonkers,116,154.100008,2.65
New York College of Health Professions,6801 Jericho Tpk,Syosset,NY,779,172.741138,3
Star Career Academy-Syosset,125 Michael Drive,Syosset,NY,600,172.741138,3
Norwich University,158 Harmon Drive,Northfield,VT,2647,146.022185,2.316666667
Sarah Lawrence College,One Meadway,Bronxville,NY,1491,149.12904,2.55
The College of New Rochelle,29 Castle Pl,New Rochelle,NY,4330,147.264927,2.5
LIU Post,720 Northern Blvd,Brookville,NY,9023,170.255654,3
LIU-University Center Campus,700 Northern Boulevard,Brookville,NY,0,170.255654,2.983333333
Farmingdale State College,2350 Broadhollow Road,Farmingdale,NY,10890,180.818961,3.15
New York Institute of Technology,Northern Blvd,Old Westbury,NY,5209,169.634283,2.966666667
Westchester School of Beauty Culture,Six Gramatan Avenue      Suite 200,Mount Vernon,NY,186,149.12904,2.55
Dorothea Hopfer School of Nursing-Mt Vernon Hospital,53 Valentine St,Mount Vernon,NY,161,149.750411,2.55
SUNY College of Technology at Delhi,2 Main Street,Delhi,NY,3910,187.654042,3.2
Sullivan County BOCES-Practical Nursing Program,52 Ferndale Loomis Rd,Liberty,NY,37,183.304445,3.233333333
Cape Cod Community College,2240 Iyannough Rd,West Barnstable,MA,6105,151.614524,2.65
Lincoln Technical Institute-Mahwah,70 McKee Dr,Mahwah,NJ,887,167.77017,2.85
SUNY College at Old Westbury,223 Store Hill Rd,Old Westbury,NY,5137,169.634283,2.983333333
St Joseph's Medical Center School of Radiography,127 S Broadway,Yonkers,NY,23,151.614524,2.6
Briarcliffe College,1055 Stewart Ave,Bethpage,NY,2977,176.469364,3.1
The Landing School,286 River Rd,Arundel,ME,78,154.721379,2.683333333
Eastwick College-Ramsey,10 South Franklin Turnpike,Ramsey,NJ,1827,165.284686,2.866666667
College of Mount Saint Vincent,6301 Riverdale Ave,Bronx,NY,1807,154.100008,2.666666667
Western Suffolk BOCES,152 Laurel Hill Rd,Northport,NY,444,185.789929,3.266666667
Hunter Business School,3601 Hempstead Tpk,Levittown,NY,1585,177.712106,3.1
Yeshiva of the Telshe Alumni,4904 Independence Ave,Riverdale,NY,99,154.100008,2.616666667
Long Island Nail & Skin Care Institute,3709 Hempstead Turnpike,Levittown,NY,165,177.712106,3.083333333
Manhattan College,4513 Manhattan College Parkway,Riverdale,NY,3454,153.478637,2.616666667
Ramapo College of New Jersey,505 Ramapo Valley Rd,Mahwah,NJ,6541,170.877025,2.916666667
Brittany Beauty School,3274Hempstead Tpk,Levittown,NY,234,176.469364,3.066666667
Empire Beauty School-Hyannis,259 North Street,Hyannis,MA,150,155.34275,2.766666667
CUNY Lehman College,250 Bedford Park Blvd W,Bronx,NY,12769,154.721379,2.65
United States Merchant Marine Academy,300 Steamboat Rd,Kings Point,NY,1035,163.420573,2.916666667
